"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9150","0","0","0","87.45","0","0.1","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9200","4.5","4.8","3.9","4.05","4.15","4.05","425","2933.83","1.33","32250","4425","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9250","0","0","0","12.95","12.95","0.15","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9300","5.3","5.9","4.3","4.6","4.35","4.6","1116","7788.2","4.1","47625","2925","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9350","0","0","0","124.45","0","0.35","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9400","5.35","7","5.25","5.65","5.55","5.65","2728","19244.58","12.18","251100","18225","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9450","3.3","10.5","3.3","7","7","7","198","1404.18",".86","1050","1050","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9500","7","8.9","6.55","7.15","7.05","7.15","14743","105127.89","84.02","1527225","124950","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9550","0","0","0","172.2","0","1.3","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9600","8.9","10.5","7.05","8.05","8.1","8.05","13241","95418.53","83.33","703200","341850","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9650","0","0","0","199.65","0","2.4","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9700","8.45","12.35","7.75","10.5","10.65","10.5","8847","64431.12","69.2","785850","-60075","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9750","10.05","14.45","10","11.25","14.45","11.25","58","424.61",".49","3000","2475","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9800","11.7","15.75","9.5","14.15","14.1","14.15","7473","55001.46","74.91","853350","63675","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9850","14.7","17.65","10.25","16.05","16.9","16.05","99","732.56","1.2","5775","5475","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9900","15.25","21.2","12.55","19.3","19.4","19.3","12432","92477.49","169.89","761775","67125","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","9950","14.7","24","14","21.65","21.85","21.65","69","515.92","1","4425","975","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10000","19","28.55","17.45","26.75","26.6","26.75","44820","336962.79","812.79","3221700","409275","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10050","30","32","19.05","28.5","28.35","28.5","68","513.92","1.37","4575","75","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10100","25","37.8","22.8","35.45","36.3","35.45","14161","107602.83","333.26","934650","40350","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10150","35.7","43","21","40.5","40.55","40.5","465","3552.6","12.79","10875","1200","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10200","31.4","50.05","30.3","46.95","47.9","46.95","29602","227399.58","944.28","1494600","122100","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10250","46.7","66.25","26.4","53.75","53.85","53.75","873","6744.55","33.37","39600","16650","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10300","41","66.35","40.2","62.35","63.35","62.35","44015","341875.7","1859.82","1583550","253200","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10350","60.5","75","40.65","70.75","68.05","70.75","856","6687.1","42.4","21075","2100","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10400","58.55","86.5","53.45","81.45","83.15","81.45","67959","533809.91","3729.71","1868100","146625","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10450","74.5","99.5","61.25","93.45","93","93.45","1432","11315.26","91.96","41550","9000","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10500","85.9","112.85","70.8","106.65","108.05","106.65","125570","997842.12","8978.37","3961500","-111375","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10550","90.1","127.9","80.95","121.55","121.4","121.55","2884","23055.01","235.36","64350","2700","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10600","102.65","145","92.55","138","140","138","89573","720393.71","8288.36","2065125","61500","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10650","126.2","163.6","107.2","156.9","157.25","156.9","4273","34585.59","455","57900","6750","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10700","136.7","184.35","121.4","177.75","178.9","177.75","99933","813665.69","11703.37","2488200","138075","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10750","153.1","206","138.15","199.95","201","199.95","6932","56799.74","910.49","72750","-20175","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10800","173.9","232","155.15","224.5","225.05","224.5","74833","617154.54","11007.24","2011575","-227475","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10850","191.9","258","175.5","250.7","249.9","250.7","4215","35016.7","717.14","129525","-46350","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10900","219.9","287","195.5","280.15","281.25","280.15","35956","300444.91","6504.61","1058700","-108600","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","10950","250","317.55","222","312","311.65","312","624","5250.06","125.46","16575","-22200","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11000","270.15","350.75","246.6","344.65","347.95","344.65","17847","151349.72","4111.97","1751475","-49500","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11050","317.5","379.65","279.55","365","365","365","68","580.15","16.6","3375","225","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11100","335.05","427.95","308.5","419.9","416.9","419.9","1427","12275.4","395.63","129900","-19125","10672.25"
